equipment_id,check_out_time,check_in_time,duration_minutes
EQ0001,2023-06-02 02:35:40.169124,2023-06-02 04:19:40.169124,104
EQ0001,2023-04-17 02:35:40.169124,2023-04-17 03:27:40.169124,52
EQ0001,2022-12-10 02:35:40.169124,2022-12-10 05:33:40.169124,178
EQ0001,2021-10-06 02:35:40.169124,2021-10-06 03:10:40.169124,35
EQ0001,2022-06-06 02:35:40.169124,2022-06-06 04:37:40.169124,122
EQ0001,2022-03-29 02:35:40.169124,2022-03-29 03:27:40.169124,52
EQ0001,2021-11-25 02:35:40.169124,2021-11-25 04:04:40.169124,89
EQ0001,2022-08-12 02:35:40.169124,2022-08-12 05:09:40.169124,154
EQ0001,2022-10-01 02:35:40.169124,2022-10-01 05:51:40.169124,196
EQ0001,2022-09-19 02:35:40.169124,2022-09-19 04:44:40.169124,129
EQ0001,2023-01-02 02:35:40.169124,2023-01-02 06:15:40.169124,220
EQ0001,2023-04-05 02:35:40.169124,2023-04-05 03:20:40.169124,45
EQ0001,2022-02-03 02:35:40.169124,2022-02-03 03:12:40.169124,37
EQ0001,2023-08-26 02:35:40.169124,2023-08-26 04:08:40.169124,93
EQ0001,2022-12-12 02:35:40.169124,2022-12-12 06:17:40.169124,222
EQ0001,2022-06-27 02:35:40.169124,2022-06-27 05:07:40.169124,152
EQ0001,2023-07-13 02:35:40.169124,2023-07-13 05:53:40.169124,198
EQ0001,2021-09-22 02:35:40.169124,2021-09-22 04:36:40.169124,121
EQ0001,2021-10-26 02:35:40.169124,2021-10-26 06:29:40.169124,234
EQ0001,2021-11-03 02:35:40.169124,2021-11-03 04:13:40.169124,98
EQ0001,2022-06-16 02:35:40.169124,2022-06-16 06:12:40.169124,217
EQ0001,2023-03-30 02:35:40.169124,2023-03-30 04:22:40.169124,107
EQ0001,2023-03-11 02:35:40.169124,2023-03-11 06:03:40.169124,208
EQ0001,2022-06-19 02:35:40.169124,2022-06-19 05:03:40.169124,148
EQ0001,2022-04-24 02:35:40.169124,2022-04-24 05:34:40.169124,179
EQ0001,2022-03-21 02:35:40.169124,2022-03-21 04:59:40.169124,144
EQ0001,2021-09-28 02:35:40.169124,2021-09-28 06:21:40.169124,226
EQ0001,2023-01-30 02:35:40.169124,2023-01-30 05:23:40.169124,168
EQ0001,2022-01-30 02:35:40.169124,2022-01-30 05:13:40.169124,158
EQ0001,2022-02-06 02:35:40.169124,2022-02-06 06:29:40.169124,234
EQ0001,2021-11-21 02:35:40.169124,2021-11-21 03:46:40.169124,71
EQ0001,2022-09-11 02:35:40.169124,2022-09-11 05:04:40.169124,149
EQ0001,2023-03-07 02:35:40.169124,2023-03-07 03:10:40.169124,35
EQ0001,2022-04-14 02:35:40.169124,2022-04-14 04:37:40.169124,122
EQ0001,2021-10-12 02:35:40.169124,2021-10-12 06:03:40.169124,208
EQ0001,2022-08-06 02:35:40.169124,2022-08-06 04:55:40.169124,140
EQ0001,2022-07-16 02:35:40.169124,2022-07-16 05:46:40.169124,191
EQ0001,2022-01-01 02:35:40.169124,2022-01-01 04:51:40.169124,136
EQ0001,2023-04-15 02:35:40.169124,2023-04-15 05:57:40.169124,202
EQ0001,2022-12-30 02:35:40.169124,2022-12-30 06:04:40.169124,209
EQ0001,2022-10-02 02:35:40.169124,2022-10-02 04:31:40.169124,116
EQ0001,2023-05-26 02:35:40.169124,2023-05-26 05:22:40.169124,167
EQ0001,2022-07-31 02:35:40.169124,2022-07-31 04:41:40.169124,126
EQ0001,2022-08-21 02:35:40.169124,2022-08-21 03:11:40.169124,36
EQ0001,2021-09-05 02:35:40.169124,2021-09-05 03:10:40.169124,35
EQ0001,2023-07-19 02:35:40.169124,2023-07-19 06:22:40.169124,227
EQ0001,2023-03-12 02:35:40.169124,2023-03-12 05:09:40.169124,154
EQ0001,2022-03-09 02:35:40.169124,2022-03-09 03:18:40.169124,43
EQ0001,2022-09-22 02:35:40.169124,2022-09-22 04:33:40.169124,118
EQ0001,2022-11-23 02:35:40.169124,2022-11-23 04:12:40.169124,97
EQ0001,2022-06-08 02:35:40.169124,2022-06-08 06:18:40.169124,223
EQ0001,2023-06-01 02:35:40.169124,2023-06-01 05:55:40.169124,200
EQ0001,2022-07-10 02:35:40.169124,2022-07-10 06:15:40.169124,220
EQ0001,2022-06-11 02:35:40.169124,2022-06-11 05:06:40.169124,151
EQ0001,2022-11-09 02:35:40.169124,2022-11-09 03:49:40.169124,74
EQ0001,2022-03-22 02:35:40.169124,2022-03-22 06:21:40.169124,226
EQ0001,2022-06-05 02:35:40.169124,2022-06-05 03:44:40.169124,69
EQ0001,2021-09-18 02:35:40.169124,2021-09-18 03:58:40.169124,83
EQ0001,2022-12-30 02:35:40.169124,2022-12-30 04:09:40.169124,94
EQ0001,2022-12-26 02:35:40.169124,2022-12-26 06:17:40.169124,222
EQ0001,2023-02-23 02:35:40.169124,2023-02-23 04:11:40.169124,96
EQ0001,2022-09-05 02:35:40.169124,2022-09-05 04:33:40.169124,118
EQ0001,2021-12-10 02:35:40.169124,2021-12-10 04:59:40.169124,144
EQ0001,2021-10-11 02:35:40.169124,2021-10-11 05:07:40.169124,152
EQ0001,2021-11-21 02:35:40.169124,2021-11-21 03:15:40.169124,40
EQ0001,2022-01-21 02:35:40.169124,2022-01-21 05:51:40.169124,196
EQ0001,2022-02-04 02:35:40.169124,2022-02-04 06:28:40.169124,233
EQ0001,2023-03-11 02:35:40.169124,2023-03-11 06:30:40.169124,235
EQ0001,2022-10-10 02:35:40.169124,2022-10-10 04:32:40.169124,117
EQ0001,2021-12-16 02:35:40.169124,2021-12-16 06:11:40.169124,216
EQ0001,2021-09-19 02:35:40.169124,2021-09-19 03:54:40.169124,79
EQ0001,2023-01-21 02:35:40.169124,2023-01-21 03:45:40.169124,70
EQ0001,2021-09-04 02:35:40.169124,2021-09-04 06:22:40.169124,227
EQ0001,2023-01-18 02:35:40.169124,2023-01-18 04:17:40.169124,102
EQ0001,2022-08-26 02:35:40.169124,2022-08-26 05:25:40.169124,170
EQ0001,2023-08-25 02:35:40.169124,2023-08-25 04:10:40.169124,95
EQ0001,2022-01-25 02:35:40.169124,2022-01-25 05:36:40.169124,181
EQ0001,2022-01-09 02:35:40.169124,2022-01-09 06:03:40.169124,208
EQ0001,2022-07-26 02:35:40.169124,2022-07-26 05:05:40.169124,150
EQ0001,2022-11-06 02:35:40.169124,2022-11-06 05:13:40.169124,158
EQ0001,2023-08-23 02:35:40.169124,2023-08-23 03:48:40.169124,73
EQ0001,2022-02-23 02:35:40.169124,2022-02-23 04:43:40.169124,128
EQ0001,2022-04-05 02:35:40.169124,2022-04-05 06:02:40.169124,207
EQ0001,2023-01-28 02:35:40.169124,2023-01-28 05:08:40.169124,153
EQ0001,2023-05-16 02:35:40.169124,2023-05-16 05:30:40.169124,175
EQ0001,2022-01-29 02:35:40.169124,2022-01-29 05:45:40.169124,190
EQ0001,2022-03-19 02:35:40.169124,2022-03-19 03:40:40.169124,65
EQ0001,2022-01-26 02:35:40.169124,2022-01-26 05:56:40.169124,201
EQ0001,2023-03-29 02:35:40.169124,2023-03-29 04:12:40.169124,97
EQ0001,2021-09-15 02:35:40.169124,2021-09-15 04:26:40.169124,111
EQ0001,2021-09-27 02:35:40.169124,2021-09-27 04:02:40.169124,87
EQ0001,2023-07-08 02:35:40.169124,2023-07-08 05:01:40.169124,146
EQ0001,2023-06-30 02:35:40.169124,2023-06-30 05:11:40.169124,156
EQ0001,2022-02-24 02:35:40.169124,2022-02-24 05:41:40.169124,186
EQ0001,2022-09-11 02:35:40.169124,2022-09-11 06:24:40.169124,229
EQ0001,2022-02-07 02:35:40.169124,2022-02-07 03:14:40.169124,39
EQ0001,2021-10-21 02:35:40.169124,2021-10-21 05:24:40.169124,169
EQ0001,2023-05-18 02:35:40.169124,2023-05-18 05:51:40.169124,196
EQ0001,2022-10-23 02:35:40.169124,2022-10-23 04:16:40.169124,101
EQ0001,2021-11-11 02:35:40.169124,2021-11-11 05:50:40.169124,195
EQ0001,2023-03-06 02:35:40.169124,2023-03-06 05:17:40.169124,162
EQ0001,2023-07-18 02:35:40.169124,2023-07-18 05:17:40.169124,162
EQ0001,2022-08-14 02:35:40.169124,2022-08-14 06:23:40.169124,228
EQ0001,2023-05-17 02:35:40.169124,2023-05-17 06:27:40.169124,232
EQ0001,2023-05-07 02:35:40.169124,2023-05-07 05:07:40.169124,152
EQ0001,2023-05-10 02:35:40.169124,2023-05-10 05:37:40.169124,182
EQ0001,2022-08-18 02:35:40.169124,2022-08-18 06:19:40.169124,224
EQ0001,2021-11-04 02:35:40.169124,2021-11-04 05:32:40.169124,177
EQ0001,2023-02-09 02:35:40.169124,2023-02-09 03:47:40.169124,72
EQ0001,2022-01-24 02:35:40.169124,2022-01-24 04:15:40.169124,100
EQ0001,2021-09-21 02:35:40.169124,2021-09-21 04:00:40.169124,85
EQ0001,2023-07-28 02:35:40.169124,2023-07-28 04:50:40.169124,135
EQ0001,2023-03-21 02:35:40.169124,2023-03-21 04:37:40.169124,122
EQ0001,2022-08-21 02:35:40.169124,2022-08-21 05:34:40.169124,179
EQ0001,2023-01-16 02:35:40.169124,2023-01-16 06:09:40.169124,214
EQ0001,2023-08-15 02:35:40.169124,2023-08-15 03:18:40.169124,43
EQ0001,2022-10-26 02:35:40.169124,2022-10-26 05:52:40.169124,197
EQ0001,2023-06-05 02:35:40.169124,2023-06-05 03:27:40.169124,52
EQ0001,2023-05-27 02:35:40.169124,2023-05-27 03:37:40.169124,62
EQ0001,2022-09-25 02:35:40.169124,2022-09-25 03:41:40.169124,66
EQ0001,2022-04-10 02:35:40.169124,2022-04-10 04:25:40.169124,110
EQ0001,2022-08-02 02:35:40.169124,2022-08-02 05:45:40.169124,190
EQ0001,2022-03-13 02:35:40.169124,2022-03-13 03:52:40.169124,77
EQ0001,2022-08-09 02:35:40.169124,2022-08-09 04:59:40.169124,144
EQ0001,2021-12-21 02:35:40.169124,2021-12-21 05:23:40.169124,168
EQ0001,2022-03-03 02:35:40.169124,2022-03-03 03:20:40.169124,45
EQ0001,2022-09-28 02:35:40.169124,2022-09-28 04:00:40.169124,85
EQ0001,2023-08-30 02:35:40.169124,2023-08-30 04:26:40.169124,111
EQ0001,2022-01-04 02:35:40.169124,2022-01-04 04:02:40.169124,87
EQ0001,2023-05-05 02:35:40.169124,2023-05-05 03:06:40.169124,31
EQ0001,2022-11-22 02:35:40.169124,2022-11-22 05:52:40.169124,197
EQ0001,2022-10-01 02:35:40.169124,2022-10-01 04:47:40.169124,132
EQ0001,2023-01-21 02:35:40.169124,2023-01-21 04:12:40.169124,97
EQ0001,2021-10-17 02:35:40.169124,2021-10-17 05:18:40.169124,163
EQ0001,2021-12-23 02:35:40.169124,2021-12-23 04:27:40.169124,112
EQ0001,2022-11-20 02:35:40.169124,2022-11-20 05:46:40.169124,191
EQ0001,2021-11-13 02:35:40.169124,2021-11-13 03:56:40.169124,81
EQ0001,2021-12-19 02:35:40.169124,2021-12-19 03:37:40.169124,62
EQ0001,2022-12-13 02:35:40.169124,2022-12-13 03:51:40.169124,76
EQ0001,2022-03-03 02:35:40.169124,2022-03-03 04:45:40.169124,130
EQ0001,2023-05-26 02:35:40.169124,2023-05-26 03:12:40.169124,37
EQ0001,2021-09-11 02:35:40.169124,2021-09-11 03:25:40.169124,50
EQ0001,2022-10-15 02:35:40.169124,2022-10-15 05:25:40.169124,170
EQ0001,2022-09-30 02:35:40.169124,2022-09-30 06:04:40.169124,209
EQ0001,2023-05-17 02:35:40.169124,2023-05-17 03:53:40.169124,78
EQ0001,2022-09-19 02:35:40.169124,2022-09-19 05:48:40.169124,193
EQ0001,2023-03-02 02:35:40.169124,2023-03-02 04:38:40.169124,123
EQ0001,2022-04-23 02:35:40.169124,2022-04-23 04:44:40.169124,129
EQ0001,2022-03-27 02:35:40.169124,2022-03-27 06:30:40.169124,235
EQ0001,2021-09-25 02:35:40.169124,2021-09-25 04:51:40.169124,136
EQ0001,2022-01-13 02:35:40.169124,2022-01-13 04:11:40.169124,96
EQ0001,2021-09-18 02:35:40.169124,2021-09-18 03:34:40.169124,59
EQ0001,2023-01-25 02:35:40.169124,2023-01-25 04:52:40.169124,137
EQ0001,2022-08-11 02:35:40.169124,2022-08-11 03:47:40.169124,72
EQ0001,2022-01-22 02:35:40.169124,2022-01-22 05:24:40.169124,169
EQ0001,2022-05-18 02:35:40.169124,2022-05-18 05:26:40.169124,171
EQ0001,2023-02-28 02:35:40.169124,2023-02-28 05:53:40.169124,198
EQ0001,2022-03-28 02:35:40.169124,2022-03-28 03:32:40.169124,57
EQ0001,2023-05-13 02:35:40.169124,2023-05-13 04:19:40.169124,104
EQ0001,2022-07-23 02:35:40.169124,2022-07-23 05:25:40.169124,170
EQ0001,2021-10-20 02:35:40.169124,2021-10-20 04:03:40.169124,88
EQ0001,2022-08-05 02:35:40.169124,2022-08-05 03:13:40.169124,38
EQ0001,2022-09-09 02:35:40.169124,2022-09-09 05:04:40.169124,149
EQ0001,2022-05-01 02:35:40.169124,2022-05-01 05:02:40.169124,147
EQ0001,2023-06-01 02:35:40.169124,2023-06-01 06:22:40.169124,227
EQ0001,2022-03-31 02:35:40.169124,2022-03-31 04:51:40.169124,136
EQ0001,2023-06-17 02:35:40.169124,2023-06-17 04:05:40.169124,90
EQ0001,2022-06-08 02:35:40.169124,2022-06-08 05:01:40.169124,146
EQ0001,2022-12-07 02:35:40.169124,2022-12-07 05:44:40.169124,189
EQ0001,2023-02-23 02:35:40.169124,2023-02-23 04:17:40.169124,102
EQ0001,2022-04-13 02:35:40.169124,2022-04-13 03:10:40.169124,35
EQ0001,2021-12-22 02:35:40.169124,2021-12-22 03:47:40.169124,72
EQ0001,2022-08-05 02:35:40.169124,2022-08-05 03:12:40.169124,37
EQ0001,2023-05-30 02:35:40.169124,2023-05-30 05:48:40.169124,193
EQ0001,2022-10-06 02:35:40.169124,2022-10-06 05:59:40.169124,204
EQ0001,2022-11-06 02:35:40.169124,2022-11-06 04:16:40.169124,101
EQ0001,2022-10-12 02:35:40.169124,2022-10-12 04:15:40.169124,100
EQ0001,2023-06-05 02:35:40.169124,2023-06-05 03:57:40.169124,82
EQ0001,2023-04-11 02:35:40.169124,2023-04-11 03:38:40.169124,63
EQ0001,2023-05-03 02:35:40.169124,2023-05-03 03:27:40.169124,52
EQ0001,2021-12-23 02:35:40.169124,2021-12-23 05:17:40.169124,162
EQ0001,2023-05-03 02:35:40.169124,2023-05-03 04:46:40.169124,131
EQ0001,2023-07-07 02:35:40.169124,2023-07-07 05:19:40.169124,164
EQ0001,2021-10-19 02:35:40.169124,2021-10-19 06:16:40.169124,221
EQ0001,2022-11-15 02:35:40.169124,2022-11-15 04:41:40.169124,126
EQ0001,2023-03-21 02:35:40.169124,2023-03-21 06:05:40.169124,210
EQ0001,2023-03-19 02:35:40.169124,2023-03-19 05:19:40.169124,164
EQ0001,2022-09-15 02:35:40.169124,2022-09-15 04:49:40.169124,134
EQ0001,2023-03-03 02:35:40.169124,2023-03-03 06:26:40.169124,231
EQ0001,2023-02-03 02:35:40.169124,2023-02-03 05:02:40.169124,147
EQ0001,2022-03-10 02:35:40.169124,2022-03-10 05:29:40.169124,174
EQ0001,2022-04-11 02:35:40.169124,2022-04-11 05:31:40.169124,176
EQ0001,2021-10-29 02:35:40.169124,2021-10-29 05:55:40.169124,200
EQ0001,2021-12-02 02:35:40.169124,2021-12-02 06:22:40.169124,227
EQ0001,2023-05-17 02:35:40.169124,2023-05-17 06:03:40.169124,208
EQ0001,2022-01-31 02:35:40.169124,2022-01-31 05:50:40.169124,195
EQ0001,2022-05-12 02:35:40.169124,2022-05-12 06:12:40.169124,217
EQ0001,2022-07-01 02:35:40.169124,2022-07-01 03:49:40.169124,74
EQ0001,2023-03-31 02:35:40.169124,2023-03-31 04:52:40.169124,137
EQ0001,2023-08-01 02:35:40.169124,2023-08-01 05:33:40.169124,178
EQ0001,2022-11-29 02:35:40.169124,2022-11-29 03:19:40.169124,44
EQ0001,2022-02-20 02:35:40.169124,2022-02-20 05:53:40.169124,198
EQ0001,2021-12-05 02:35:40.169124,2021-12-05 04:50:40.169124,135
EQ0001,2023-05-15 02:35:40.169124,2023-05-15 06:17:40.169124,222
EQ0001,2022-08-06 02:35:40.169124,2022-08-06 05:07:40.169124,152
EQ0001,2021-10-28 02:35:40.169124,2021-10-28 05:51:40.169124,196
EQ0001,2022-12-27 02:35:40.169124,2022-12-27 04:21:40.169124,106
EQ0001,2022-02-25 02:35:40.169124,2022-02-25 06:10:40.169124,215
EQ0001,2021-11-08 02:35:40.169124,2021-11-08 05:13:40.169124,158
EQ0001,2021-10-28 02:35:40.169124,2021-10-28 05:53:40.169124,198
EQ0001,2022-12-12 02:35:40.169124,2022-12-12 03:05:40.169124,30
EQ0001,2022-12-20 02:35:40.169124,2022-12-20 04:05:40.169124,90
EQ0001,2021-09-20 02:35:40.169124,2021-09-20 06:11:40.169124,216
EQ0001,2023-01-14 02:35:40.169124,2023-01-14 05:00:40.169124,145
EQ0001,2022-10-23 02:35:40.169124,2022-10-23 05:58:40.169124,203
EQ0001,2022-08-16 02:35:40.169124,2022-08-16 05:42:40.169124,187
EQ0001,2022-11-18 02:35:40.169124,2022-11-18 05:04:40.169124,149
EQ0001,2022-09-30 02:35:40.169124,2022-09-30 03:52:40.169124,77
EQ0001,2022-06-01 02:35:40.169124,2022-06-01 05:34:40.169124,179
EQ0001,2022-08-24 02:35:40.169124,2022-08-24 05:41:40.169124,186
EQ0001,2022-02-06 02:35:40.169124,2022-02-06 06:19:40.169124,224
EQ0001,2023-02-02 02:35:40.169124,2023-02-02 04:11:40.169124,96
EQ0001,2022-06-06 02:35:40.169124,2022-06-06 03:53:40.169124,78
EQ0001,2023-08-15 02:35:40.169124,2023-08-15 06:00:40.169124,205
EQ0001,2021-12-11 02:35:40.169124,2021-12-11 05:58:40.169124,203
EQ0001,2022-09-06 02:35:40.169124,2022-09-06 03:56:40.169124,81
EQ0001,2022-11-06 02:35:40.169124,2022-11-06 05:40:40.169124,185
EQ0001,2022-12-03 02:35:40.169124,2022-12-03 04:31:40.169124,116
EQ0001,2023-03-31 02:35:40.169124,2023-03-31 03:31:40.169124,56
EQ0001,2022-08-29 02:35:40.169124,2022-08-29 04:59:40.169124,144
EQ0001,2023-07-31 02:35:40.169124,2023-07-31 06:18:40.169124,223
EQ0001,2021-12-25 02:35:40.169124,2021-12-25 03:53:40.169124,78
EQ0001,2023-02-28 02:35:40.169124,2023-02-28 03:58:40.169124,83
EQ0001,2022-12-05 02:35:40.169124,2022-12-05 04:49:40.169124,134
EQ0001,2023-06-30 02:35:40.169124,2023-06-30 04:26:40.169124,111
EQ0001,2021-09-03 02:35:40.169124,2021-09-03 06:30:40.169124,235
EQ0001,2022-10-11 02:35:40.169124,2022-10-11 05:26:40.169124,171
EQ0001,2022-05-29 02:35:40.169124,2022-05-29 04:57:40.169124,142
EQ0001,2022-08-03 02:35:40.169124,2022-08-03 03:09:40.169124,34
EQ0001,2023-05-12 02:35:40.169124,2023-05-12 06:33:40.169124,238
EQ0001,2022-01-13 02:35:40.169124,2022-01-13 05:50:40.169124,195
EQ0001,2023-08-06 02:35:40.169124,2023-08-06 04:43:40.169124,128
EQ0001,2023-05-14 02:35:40.169124,2023-05-14 05:44:40.169124,189
EQ0001,2022-12-16 02:35:40.169124,2022-12-16 05:05:40.169124,150
EQ0001,2022-02-07 02:35:40.169124,2022-02-07 03:56:40.169124,81
EQ0001,2022-10-10 02:35:40.169124,2022-10-10 03:10:40.169124,35
EQ0001,2023-07-18 02:35:40.169124,2023-07-18 04:16:40.169124,101
EQ0001,2022-10-26 02:35:40.169124,2022-10-26 05:59:40.169124,204
EQ0001,2023-07-31 02:35:40.169124,2023-07-31 06:22:40.169124,227
EQ0001,2023-06-06 02:35:40.169124,2023-06-06 05:28:40.169124,173
EQ0001,2022-01-24 02:35:40.169124,2022-01-24 03:45:40.169124,70
EQ0001,2021-12-23 02:35:40.169124,2021-12-23 05:24:40.169124,169
EQ0001,2022-10-14 02:35:40.169124,2022-10-14 06:20:40.169124,225
EQ0001,2022-06-24 02:35:40.169124,2022-06-24 03:25:40.169124,50
EQ0001,2022-07-13 02:35:40.169124,2022-07-13 04:41:40.169124,126
EQ0001,2023-05-08 02:35:40.169124,2023-05-08 06:05:40.169124,210
EQ0001,2022-07-28 02:35:40.169124,2022-07-28 05:24:40.169124,169
EQ0001,2022-01-13 02:35:40.169124,2022-01-13 06:22:40.169124,227
EQ0001,2023-07-24 02:35:40.169124,2023-07-24 04:22:40.169124,107
EQ0001,2022-07-23 02:35:40.169124,2022-07-23 03:42:40.169124,67
EQ0001,2022-10-07 02:35:40.169124,2022-10-07 06:27:40.169124,232
EQ0001,2022-07-25 02:35:40.169124,2022-07-25 03:21:40.169124,46
EQ0001,2021-12-24 02:35:40.169124,2021-12-24 04:05:40.169124,90
EQ0001,2023-05-08 02:35:40.169124,2023-05-08 03:51:40.169124,76
EQ0001,2022-01-09 02:35:40.169124,2022-01-09 05:54:40.169124,199
EQ0001,2022-01-18 02:35:40.169124,2022-01-18 05:20:40.169124,165
EQ0001,2022-04-20 02:35:40.169124,2022-04-20 06:29:40.169124,234
EQ0001,2021-10-05 02:35:40.169124,2021-10-05 05:14:40.169124,159
EQ0001,2022-02-08 02:35:40.169124,2022-02-08 04:16:40.169124,101
EQ0001,2022-07-07 02:35:40.169124,2022-07-07 04:10:40.169124,95
EQ0001,2021-12-25 02:35:40.169124,2021-12-25 06:18:40.169124,223
EQ0001,2023-06-26 02:35:40.169124,2023-06-26 06:17:40.169124,222
EQ0001,2023-02-10 02:35:40.169124,2023-02-10 03:46:40.169124,71
EQ0001,2021-10-04 02:35:40.169124,2021-10-04 03:58:40.169124,83
EQ0001,2022-05-24 02:35:40.169124,2022-05-24 05:44:40.169124,189
EQ0001,2022-05-08 02:35:40.169124,2022-05-08 04:08:40.169124,93
EQ0001,2023-05-24 02:35:40.169124,2023-05-24 05:07:40.169124,152
EQ0001,2022-10-29 02:35:40.169124,2022-10-29 03:47:40.169124,72
EQ0001,2023-03-03 02:35:40.169124,2023-03-03 03:09:40.169124,34
EQ0001,2023-06-06 02:35:40.169124,2023-06-06 05:07:40.169124,152
EQ0001,2023-07-11 02:35:40.169124,2023-07-11 04:54:40.169124,139
EQ0001,2022-05-13 02:35:40.169124,2022-05-13 04:18:40.169124,103
EQ0001,2022-05-23 02:35:40.169124,2022-05-23 06:04:40.169124,209
EQ0001,2022-08-11 02:35:40.169124,2022-08-11 03:48:40.169124,73
EQ0001,2021-11-08 02:35:40.169124,2021-11-08 03:16:40.169124,41
EQ0001,2023-06-04 02:35:40.169124,2023-06-04 04:32:40.169124,117
EQ0001,2022-05-25 02:35:40.169124,2022-05-25 03:16:40.169124,41
