equipment_id,maintenance_date,maintenance_type,days_since_last,usage_since_last
EQ0002,2021-03-04 06:19:40.169172,preventive,10,1057
EQ0002,2021-03-05 06:03:40.169172,routine,-2,888
EQ0002,2021-03-19 06:19:40.169172,preventive,7,1093
EQ0002,2021-03-25 05:29:40.169172,corrective,1,1049
EQ0002,2021-04-04 04:24:40.169172,corrective,7,1074
EQ0002,2021-04-11 06:18:40.169172,routine,1,947
EQ0002,2021-04-22 06:23:40.169172,routine,5,1097
EQ0002,2021-04-26 05:21:40.169172,preventive,1,1119
EQ0002,2021-05-14 05:06:40.169172,routine,12,944
EQ0002,2021-05-19 05:09:40.169172,routine,2,1150
EQ0002,2021-05-26 05:04:40.169172,routine,4,1027
EQ0002,2021-06-06 05:34:40.169172,preventive,7,994
EQ0002,2021-06-14 06:02:40.169172,routine,6,1258
EQ0002,2021-06-21 06:31:40.169172,routine,2,875
EQ0002,2021-06-25 04:15:40.169172,routine,-1,1049
EQ0002,2021-07-02 06:24:40.169172,routine,0,1027
EQ0002,2021-07-06 05:44:40.169172,routine,1,935
EQ0002,2021-07-12 04:49:40.169172,preventive,2,921
EQ0002,2021-07-22 04:21:40.169172,preventive,5,1017
EQ0002,2021-08-04 04:33:40.169172,routine,7,1066
EQ0002,2021-08-03 04:46:40.169172,routine,-3,877
EQ0002,2021-08-13 04:24:40.169172,preventive,5,930
EQ0002,2021-08-18 03:46:40.169172,routine,0,1007
EQ0002,2021-08-24 03:22:40.169172,routine,4,926
EQ0002,2021-09-05 05:33:40.169172,routine,10,930
EQ0002,2021-09-12 05:09:40.169172,routine,2,924
EQ0002,2021-09-20 03:07:40.169172,preventive,4,1152
EQ0002,2021-10-05 05:23:40.169172,preventive,13,1139
EQ0002,2021-10-14 05:36:40.169172,routine,6,846
EQ0002,2021-10-24 06:09:40.169172,preventive,6,1012
EQ0002,2021-11-04 03:25:40.169172,routine,8,1113
EQ0002,2021-11-12 06:02:40.169172,routine,2,1010
EQ0002,2021-11-17 05:21:40.169172,preventive,-2,1022
EQ0002,2021-11-25 04:07:40.169172,routine,4,942
EQ0002,2021-12-04 06:27:40.169172,routine,6,1192
EQ0002,2021-12-10 04:42:40.169172,routine,3,935
EQ0002,2021-12-24 06:27:40.169172,routine,9,973
EQ0002,2021-12-29 05:22:40.169172,preventive,0,1042
EQ0002,2022-01-01 06:34:40.169172,routine,-2,997
EQ0002,2022-01-09 06:31:40.169172,routine,4,1201
EQ0002,2022-01-21 06:29:40.169172,routine,5,1226
EQ0002,2022-01-23 05:57:40.169172,routine,0,1052
EQ0002,2022-02-08 05:55:40.169172,routine,11,1123
EQ0002,2022-02-14 04:34:40.169172,routine,0,1225
EQ0002,2022-02-18 06:20:40.169172,routine,1,1298
EQ0002,2022-03-01 03:40:40.169172,routine,7,987
EQ0002,2022-03-11 06:03:40.169172,preventive,3,1043
EQ0002,2022-03-18 06:06:40.169172,routine,2,1064
EQ0002,2022-03-23 06:12:40.169172,routine,0,1320
EQ0002,2022-04-03 04:45:40.169172,corrective,7,899
EQ0002,2022-04-10 06:29:40.169172,routine,2,1153
EQ0002,2022-04-17 03:22:40.169172,routine,1,858
EQ0002,2022-04-26 04:06:40.169172,routine,4,834
EQ0002,2022-05-10 06:12:40.169172,preventive,7,1272
EQ0002,2022-05-20 05:31:40.169172,corrective,4,1119
EQ0002,2022-05-31 05:24:40.169172,routine,5,984
EQ0002,2022-06-03 05:25:40.169172,routine,-3,1117
EQ0002,2022-06-19 04:24:40.169172,routine,9,1197
EQ0002,2022-06-23 05:07:40.169172,routine,0,1004
EQ0002,2022-06-28 06:34:40.169172,routine,1,1059
EQ0002,2022-07-12 04:29:40.169172,routine,10,1091
EQ0002,2022-07-24 04:03:40.169172,routine,6,1182
EQ0002,2022-07-28 06:20:40.169172,routine,0,1047
EQ0002,2022-08-03 04:21:40.169172,routine,3,1173
EQ0002,2022-08-09 06:23:40.169172,preventive,4,1032
EQ0002,2022-08-19 04:48:40.169172,routine,5,1063
EQ0002,2022-08-27 05:21:40.169172,preventive,6,1068
EQ0002,2022-09-05 05:34:40.169172,corrective,5,1106
EQ0002,2022-09-14 04:49:40.169172,routine,3,968
EQ0002,2022-09-21 04:04:40.169172,corrective,5,873
EQ0002,2022-09-26 04:53:40.169172,preventive,3,1114
EQ0002,2022-10-06 05:12:40.169172,routine,6,1162
EQ0002,2022-10-22 03:28:40.169172,routine,9,1074
EQ0002,2022-10-23 05:29:40.169172,routine,-2,1147
EQ0002,2022-11-02 06:32:40.169172,routine,5,1199
EQ0003,2020-07-26 06:21:40.169193,corrective,6,1184
EQ0003,2020-07-31 04:48:40.169193,routine,1,896
EQ0003,2020-08-12 03:20:40.169193,routine,6,1141
EQ0003,2020-08-16 06:15:40.169193,routine,-1,1155
EQ0003,2020-08-23 06:30:40.169193,preventive,2,888
EQ0003,2020-08-26 05:00:40.169193,routine,1,863
EQ0003,2020-09-01 04:16:40.169193,preventive,3,1031
EQ0003,2020-09-09 04:50:40.169193,routine,4,1179
EQ0003,2020-09-17 04:31:40.169193,routine,1,1003
EQ0003,2020-09-21 04:34:40.169193,routine,1,882
EQ0003,2020-09-28 05:50:40.169193,routine,2,991
EQ0003,2020-10-09 04:44:40.169193,routine,5,1080
EQ0003,2020-10-19 03:57:40.169193,corrective,4,1055
EQ0003,2020-10-26 05:25:40.169193,routine,5,1184
EQ0003,2020-11-05 05:51:40.169193,routine,4,969
EQ0003,2020-11-13 05:22:40.169193,routine,5,1045
EQ0003,2020-11-24 06:25:40.169193,routine,5,1275
EQ0003,2020-11-26 06:29:40.169193,routine,-2,1146
EQ0003,2020-12-04 04:28:40.169193,routine,2,1126
EQ0003,2020-12-10 06:21:40.169193,routine,0,1064
EQ0003,2020-12-10 04:45:40.169193,routine,-2,1059
EQ0003,2020-12-14 05:45:40.169193,routine,2,1139
EQ0003,2020-12-26 05:18:40.169193,routine,5,1128
EQ0003,2020-12-28 04:23:40.169193,routine,-4,887
EQ0003,2020-12-30 04:53:40.169193,preventive,0,929
EQ0003,2021-01-07 06:20:40.169193,preventive,4,1041
EQ0003,2021-01-17 05:45:40.169193,routine,5,1012
EQ0003,2021-01-25 06:08:40.169193,routine,5,1194
EQ0003,2021-02-02 05:46:40.169193,preventive,2,1069
EQ0003,2021-02-11 06:19:40.169193,routine,2,1135
EQ0003,2021-02-16 05:17:40.169193,routine,-1,1198
EQ0003,2021-02-24 04:40:40.169193,routine,3,1107
EQ0003,2021-03-02 06:21:40.169193,routine,1,1333
EQ0003,2021-03-14 05:16:40.169193,routine,9,1220
EQ0003,2021-03-24 05:21:40.169193,preventive,6,931
EQ0003,2021-04-06 05:19:40.169193,routine,11,1164
EQ0003,2021-04-22 03:58:40.169193,preventive,12,1013
EQ0003,2021-04-27 05:11:40.169193,routine,-1,896
EQ0003,2021-04-30 06:27:40.169193,preventive,-3,1046
EQ0003,2021-05-07 06:16:40.169193,routine,2,1312
EQ0003,2021-05-13 05:09:40.169193,routine,3,1193
EQ0003,2021-05-18 06:20:40.169193,routine,-1,1019
EQ0003,2021-05-21 03:35:40.169193,corrective,-1,972
EQ0003,2021-05-30 04:20:40.169193,routine,5,989
EQ0003,2021-06-07 05:01:40.169193,routine,4,1046
EQ0003,2021-06-15 05:04:40.169193,routine,6,1292
EQ0003,2021-06-28 04:43:40.169193,routine,8,1109
EQ0003,2021-07-05 05:49:40.169193,preventive,2,1000
EQ0003,2021-07-14 05:43:40.169193,routine,4,1098
EQ0003,2021-07-17 03:50:40.169193,preventive,-3,848
EQ0003,2021-07-24 03:51:40.169193,routine,5,1137
EQ0003,2021-08-01 04:26:40.169193,routine,6,1000
EQ0003,2021-08-17 03:59:40.169193,routine,9,1027
EQ0003,2021-08-22 03:41:40.169193,routine,3,969
EQ0003,2021-09-01 05:48:40.169193,routine,4,861
EQ0003,2021-09-09 03:35:40.169193,routine,1,861
EQ0003,2021-09-20 04:14:40.169193,preventive,6,1172
EQ0003,2021-09-29 06:24:40.169193,preventive,2,962
EQ0003,2021-10-01 06:18:40.169193,preventive,-2,1117
EQ0003,2021-10-06 03:39:40.169193,routine,3,927
EQ0003,2021-10-17 04:23:40.169193,routine,4,1012
EQ0003,2021-10-23 06:30:40.169193,corrective,3,955
EQ0003,2021-10-30 06:08:40.169193,routine,4,1250
EQ0003,2021-11-06 06:29:40.169193,routine,2,1202
EQ0003,2021-11-15 04:44:40.169193,routine,5,939
EQ0003,2021-11-20 04:55:40.169193,preventive,3,1022
EQ0003,2021-11-24 05:21:40.169193,routine,1,1241
EQ0003,2021-12-07 05:38:40.169193,routine,7,1269
EQ0003,2021-12-14 03:47:40.169193,routine,2,995
EQ0003,2021-12-23 04:55:40.169193,corrective,3,1295
EQ0003,2021-12-24 05:01:40.169193,routine,-5,821
EQ0003,2022-01-02 05:32:40.169193,preventive,5,1156
EQ0003,2022-01-06 05:20:40.169193,preventive,0,975
EQ0003,2022-01-14 03:36:40.169193,corrective,1,1049
EQ0003,2022-01-15 03:48:40.169193,routine,-1,871
EQ0003,2022-01-24 04:45:40.169193,routine,6,1045
EQ0003,2022-01-30 06:02:40.169193,routine,2,905
EQ0003,2022-02-03 05:54:40.169193,routine,0,910
EQ0003,2022-02-09 05:50:40.169193,routine,2,1011
EQ0003,2022-02-15 05:48:40.169193,routine,-1,1210
EQ0003,2022-02-21 06:24:40.169193,routine,-1,1168
EQ0003,2022-02-27 03:27:40.169193,corrective,2,863
EQ0003,2022-03-08 04:24:40.169193,routine,6,1177
EQ0003,2022-03-20 04:20:40.169193,routine,9,1023
EQ0003,2022-03-29 03:34:40.169193,routine,3,891
EQ0003,2022-03-31 05:45:40.169193,routine,-1,1174
EQ0003,2022-04-09 05:52:40.169193,preventive,7,1264
EQ0003,2022-04-16 06:05:40.169193,routine,4,1039
EQ0003,2022-05-04 03:51:40.169193,routine,13,1235
EQ0003,2022-05-10 05:46:40.169193,routine,3,1092
EQ0003,2022-05-17 04:58:40.169193,routine,1,875
EQ0003,2022-05-29 05:52:40.169193,preventive,5,1251
EQ0003,2022-05-31 06:34:40.169193,routine,0,1082
EQ0003,2022-06-15 04:09:40.169193,routine,9,1138
EQ0003,2022-06-19 05:55:40.169193,preventive,-1,847
EQ0003,2022-06-21 06:29:40.169193,routine,0,1156
EQ0003,2022-06-28 04:50:40.169193,routine,2,1037
EQ0003,2022-07-08 04:04:40.169193,routine,3,1044
EQ0003,2022-07-09 05:42:40.169193,routine,-4,1148
EQ0003,2022-07-17 06:23:40.169193,routine,2,1093
EQ0003,2022-07-18 05:35:40.169193,corrective,-2,948
EQ0004,2021-09-23 05:05:40.169207,routine,9,979
EQ0004,2021-10-22 05:44:40.169207,preventive,22,1032
EQ0004,2021-10-31 05:27:40.169207,routine,5,1175
EQ0004,2021-11-13 04:44:40.169207,routine,9,1165
EQ0004,2021-11-29 06:19:40.169207,routine,9,1185
EQ0004,2021-12-15 04:28:40.169207,routine,11,952
EQ0004,2021-12-19 03:32:40.169207,routine,2,1109
EQ0004,2021-12-30 06:03:40.169207,routine,8,939
EQ0004,2022-01-20 03:10:40.169207,corrective,15,1222
EQ0004,2022-02-06 05:22:40.169207,routine,10,1249
EQ0004,2022-02-14 06:27:40.169207,routine,3,1099
EQ0004,2022-02-21 05:00:40.169207,preventive,2,975
EQ0004,2022-03-05 05:11:40.169207,routine,5,1009
EQ0004,2022-03-17 06:26:40.169207,preventive,9,1194
EQ0004,2022-03-27 03:19:40.169207,corrective,6,961
EQ0004,2022-04-17 06:04:40.169207,routine,16,1177
EQ0004,2022-04-27 04:21:40.169207,corrective,5,940
EQ0004,2022-05-03 04:54:40.169207,routine,1,1083
EQ0004,2022-05-06 03:40:40.169207,routine,1,1095
EQ0004,2022-05-24 03:08:40.169207,routine,16,1027
EQ0004,2022-06-16 03:40:40.169207,routine,17,1077
EQ0004,2022-07-10 06:24:40.169207,corrective,17,1084
EQ0004,2022-07-12 05:08:40.169207,preventive,-1,928
EQ0004,2022-07-23 06:01:40.169207,routine,8,1120
EQ0004,2022-08-11 05:20:40.169207,routine,17,1022
EQ0004,2022-08-24 05:46:40.169207,routine,10,1219
EQ0004,2022-09-18 06:19:40.169207,routine,19,1062
EQ0004,2022-09-28 06:11:40.169207,corrective,7,1130
EQ0004,2022-10-15 05:02:40.169207,preventive,12,908
EQ0004,2022-10-31 04:29:40.169207,routine,11,1140
EQ0004,2022-11-20 06:30:40.169207,routine,13,1137
EQ0004,2022-11-28 06:20:40.169207,preventive,3,904
EQ0004,2022-12-07 03:49:40.169207,preventive,5,1197
EQ0004,2022-12-16 05:16:40.169207,preventive,5,1110
EQ0004,2022-12-26 03:53:40.169207,routine,7,1008
EQ0004,2023-01-05 03:14:40.169207,corrective,8,1055
EQ0004,2023-01-16 05:32:40.169207,routine,8,1056
EQ0004,2023-02-08 06:25:40.169207,routine,20,1295
EQ0004,2023-02-17 05:08:40.169207,preventive,7,965
EQ0004,2023-03-06 04:13:40.169207,routine,12,915
EQ0004,2023-03-12 05:59:40.169207,routine,1,983
EQ0004,2023-03-22 06:06:40.169207,routine,5,961
EQ0004,2023-04-01 03:47:40.169207,routine,4,1093
EQ0004,2023-04-11 06:28:40.169207,preventive,5,1066
EQ0004,2023-04-29 03:24:40.169207,routine,11,1083
EQ0004,2023-05-16 05:32:40.169207,routine,13,988
EQ0004,2023-05-29 04:37:40.169207,routine,11,1034
EQ0004,2023-06-05 03:35:40.169207,preventive,5,822
EQ0004,2023-06-21 04:00:40.169207,routine,10,1115
EQ0004,2023-06-21 05:54:40.169207,routine,-2,828
EQ0004,2023-07-11 04:47:40.169207,routine,17,979
EQ0004,2023-07-29 05:08:40.169207,preventive,12,1183
EQ0004,2023-08-10 06:32:40.169207,routine,8,999
EQ0004,2023-08-26 06:23:40.169207,routine,10,980
EQ0004,2023-08-28 04:32:40.169207,routine,-1,818
EQ0004,2023-09-13 04:48:40.169207,routine,12,951
EQ0005,2020-10-27 06:09:40.169221,routine,9,1078
EQ0005,2020-11-02 06:21:40.169221,routine,-1,953
EQ0005,2020-11-05 06:32:40.169221,corrective,-4,925
EQ0005,2020-11-10 04:11:40.169221,routine,3,1235
EQ0005,2020-11-22 04:25:40.169221,preventive,7,1044
EQ0005,2020-12-02 05:01:40.169221,routine,3,1240
EQ0005,2020-11-29 05:30:40.169221,routine,-5,918
EQ0005,2020-12-06 05:13:40.169221,routine,5,1062
EQ0005,2020-12-15 05:38:40.169221,routine,5,1185
EQ0005,2020-12-23 04:42:40.169221,routine,2,1095
EQ0005,2021-01-03 04:32:40.169221,routine,6,999
EQ0005,2021-01-05 05:58:40.169221,routine,0,966
EQ0005,2021-01-16 05:36:40.169221,corrective,6,1233
EQ0005,2021-01-19 05:09:40.169221,routine,1,1101
EQ0005,2021-01-23 03:29:40.169221,routine,1,953
EQ0005,2021-02-03 05:57:40.169221,routine,4,950
EQ0005,2021-02-07 03:35:40.169221,preventive,-1,1228
EQ0005,2021-02-11 06:04:40.169221,routine,0,932
EQ0005,2021-02-22 06:09:40.169221,routine,7,1268
EQ0005,2021-03-02 04:08:40.169221,preventive,1,1014
EQ0005,2021-03-05 05:57:40.169221,preventive,-3,983
EQ0005,2021-03-09 06:07:40.169221,preventive,-3,1004
EQ0005,2021-03-10 04:45:40.169221,preventive,-3,1114
EQ0005,2021-03-17 05:26:40.169221,corrective,3,1119
EQ0005,2021-03-23 04:57:40.169221,routine,2,1081
EQ0005,2021-03-27 06:30:40.169221,routine,-1,1081
EQ0005,2021-04-01 04:27:40.169221,routine,2,1114
EQ0005,2021-04-10 05:56:40.169221,preventive,5,1201
EQ0005,2021-04-14 04:39:40.169221,routine,2,1023
EQ0005,2021-04-22 05:34:40.169221,routine,5,1044
EQ0005,2021-04-25 05:28:40.169221,routine,-1,907
EQ0005,2021-04-29 04:08:40.169221,corrective,0,1081
EQ0005,2021-05-04 06:19:40.169221,preventive,2,1106
EQ0005,2021-05-12 04:31:40.169221,routine,2,1006
EQ0005,2021-05-15 06:21:40.169221,preventive,0,1229
EQ0005,2021-05-18 05:15:40.169221,routine,1,1106
EQ0005,2021-05-25 05:55:40.169221,routine,5,1352
EQ0005,2021-06-08 05:08:40.169221,routine,10,1089
EQ0005,2021-06-18 05:24:40.169221,preventive,5,1108
EQ0005,2021-06-25 04:28:40.169221,routine,3,1120
EQ0005,2021-06-27 03:48:40.169221,preventive,0,1094
EQ0005,2021-07-10 06:07:40.169221,preventive,6,1222
EQ0005,2021-07-22 03:08:40.169221,preventive,5,1008
EQ0005,2021-07-21 05:46:40.169221,preventive,-3,1088
EQ0005,2021-07-28 04:28:40.169221,routine,1,1168
EQ0005,2021-07-31 05:16:40.169221,routine,-1,1131
EQ0005,2021-08-15 05:58:40.169221,routine,13,1211
EQ0005,2021-08-22 05:04:40.169221,preventive,2,1046
EQ0005,2021-08-30 05:27:40.169221,routine,3,1042
EQ0005,2021-09-13 04:49:40.169221,routine,8,1160
EQ0005,2021-09-18 04:30:40.169221,routine,3,1090
EQ0005,2021-09-24 03:54:40.169221,routine,3,822
EQ0005,2021-10-05 05:06:40.169221,routine,4,1139
EQ0005,2021-10-07 04:24:40.169221,routine,-4,1075
EQ0005,2021-10-21 06:27:40.169221,routine,9,1167
EQ0005,2021-10-24 06:07:40.169221,routine,1,1237
EQ0005,2021-10-30 05:03:40.169221,routine,3,1034
EQ0005,2021-11-03 05:38:40.169221,corrective,1,1199
EQ0005,2021-11-14 06:27:40.169221,routine,8,1243
EQ0005,2021-11-20 06:25:40.169221,routine,0,917
EQ0005,2021-11-25 05:47:40.169221,routine,0,1156
EQ0005,2021-12-09 06:10:40.169221,routine,10,1277
EQ0005,2021-12-13 06:04:40.169221,routine,2,1309
EQ0005,2021-12-24 06:34:40.169221,preventive,7,1155
EQ0005,2022-01-02 06:07:40.169221,routine,2,1218
EQ0005,2022-01-09 05:25:40.169221,preventive,4,1052
EQ0005,2022-01-14 05:15:40.169221,preventive,1,1034
EQ0005,2022-01-18 05:45:40.169221,routine,2,981
EQ0005,2022-01-26 06:27:40.169221,routine,3,895
EQ0005,2022-01-30 03:49:40.169221,routine,2,1157
EQ0005,2022-02-05 04:56:40.169221,preventive,2,830
EQ0005,2022-02-09 05:19:40.169221,preventive,1,1134
EQ0005,2022-02-25 05:57:40.169221,routine,10,1325
EQ0005,2022-02-27 05:46:40.169221,corrective,0,898
EQ0005,2022-03-12 05:00:40.169221,routine,7,1205
EQ0005,2022-03-16 03:28:40.169221,routine,-2,1024
EQ0005,2022-03-19 03:54:40.169221,routine,0,1124
EQ0005,2022-03-23 06:00:40.169221,routine,2,1169
EQ0005,2022-03-29 05:16:40.169221,routine,4,897
EQ0005,2022-04-05 06:31:40.169221,preventive,4,1053
EQ0005,2022-04-10 06:15:40.169221,preventive,1,1243
EQ0005,2022-04-15 03:21:40.169221,corrective,1,1077
EQ0005,2022-04-30 04:01:40.169221,routine,9,1215
EQ0005,2022-05-05 05:26:40.169221,routine,0,1004
EQ0005,2022-05-15 05:31:40.169221,routine,3,929
EQ0005,2022-05-18 04:39:40.169221,corrective,-4,1136
EQ0005,2022-05-19 06:32:40.169221,preventive,-2,1133
EQ0005,2022-05-29 05:44:40.169221,preventive,3,1149
EQ0005,2022-06-03 04:56:40.169221,routine,2,915
EQ0005,2022-06-12 05:34:40.169221,preventive,6,1133
EQ0005,2022-06-22 03:54:40.169221,preventive,4,952
EQ0005,2022-06-27 05:27:40.169221,routine,-1,823
EQ0005,2022-07-10 03:26:40.169221,routine,8,1030
EQ0005,2022-07-15 04:01:40.169221,routine,1,999
EQ0005,2022-07-25 04:52:40.169221,routine,8,878
EQ0005,2022-08-03 06:09:40.169221,routine,2,1100
EQ0005,2022-08-05 04:14:40.169221,routine,-3,945
EQ0005,2022-08-10 04:12:40.169221,routine,-1,1023
EQ0005,2022-08-15 06:13:40.169221,routine,-1,971
EQ0005,2022-08-17 05:18:40.169221,routine,-1,923
EQ0005,2022-08-22 04:13:40.169221,preventive,0,925
EQ0005,2022-08-28 04:26:40.169221,corrective,2,996
EQ0005,2022-09-03 04:09:40.169221,routine,2,991
EQ0005,2022-09-16 06:33:40.169221,routine,7,1157
EQ0005,2022-09-21 05:06:40.169221,preventive,0,1132
EQ0005,2022-09-28 03:24:40.169221,routine,4,1027
EQ0005,2022-10-08 05:30:40.169221,routine,4,892
EQ0005,2022-10-11 05:54:40.169221,routine,0,1035
EQ0006,2023-03-14 03:24:40.169234,preventive,9,1192
EQ0006,2023-03-29 04:13:40.169234,routine,13,1024
EQ0006,2023-04-27 04:26:40.169234,routine,26,1097
EQ0006,2023-05-17 05:14:40.169234,routine,14,972
EQ0006,2023-06-16 05:06:40.169234,routine,23,1243
EQ0006,2023-07-01 04:44:40.169234,routine,8,1026
EQ0006,2023-07-22 05:45:40.169234,routine,14,981
EQ0006,2023-08-06 05:40:40.169234,routine,13,1033
EQ0006,2023-08-30 04:26:40.169234,routine,19,1285
EQ0006,2023-09-18 05:56:40.169234,preventive,17,1040
EQ0006,2023-10-22 04:59:40.169234,routine,31,1180
EQ0006,2023-11-19 04:11:40.169234,corrective,21,1045
EQ0006,2023-12-08 04:23:40.169234,routine,13,1182
EQ0006,2023-12-26 06:09:40.169234,routine,13,1136
EQ0006,2024-01-02 05:20:40.169234,preventive,5,958
EQ0006,2024-01-25 06:28:40.169234,preventive,19,1189
EQ0006,2024-02-11 06:20:40.169234,preventive,13,971
EQ0006,2024-03-04 05:43:40.169234,preventive,18,1290
EQ0006,2024-04-06 04:26:40.169234,routine,27,1198
EQ0006,2024-04-21 05:48:40.169234,routine,13,1032
EQ0006,2024-05-13 04:49:40.169234,preventive,17,1046
EQ0006,2024-05-27 04:28:40.169234,routine,11,929
EQ0006,2024-06-14 04:32:40.169234,routine,13,1113
EQ0006,2024-06-22 06:11:40.169234,routine,6,1073
EQ0006,2024-07-01 04:27:40.169234,preventive,4,904
EQ0006,2024-07-21 05:52:40.169234,routine,13,1208
EQ0006,2024-07-31 06:29:40.169234,preventive,4,1099
EQ0006,2024-09-07 05:24:40.169234,routine,32,1336
EQ0006,2024-09-25 06:34:40.169234,routine,16,1068
EQ0006,2024-10-15 05:29:40.169234,routine,18,1114
EQ0006,2024-11-10 05:20:40.169234,preventive,19,920
EQ0006,2024-11-14 05:08:40.169234,routine,-1,1101
EQ0006,2024-12-03 05:00:40.169234,routine,15,941
EQ0006,2024-12-17 04:37:40.169234,preventive,12,1052
EQ0006,2025-01-04 04:55:40.169234,preventive,15,996
EQ0006,2025-01-13 05:49:40.169234,routine,6,1033
EQ0006,2025-01-30 04:22:40.169234,preventive,11,964
